video_path	text_description	split
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/22.mp4	athlete's fist slams into the grass with a dull thud and a slight vibration, and yell echoes across the empty field with a slight reverb.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/23.mp4	the musician's heavy breathing and exhaling with a final triumphant yell.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/24.mp4	rustling of dry grasses and leaves beneath a lions paws, and subtle low growls from the lion.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/25.mp4	thunderous footsteps shake the ground, and the dinosaur's massive roar echoes through the valley.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/26.mp4	heavy breathing and growling of the bear as it rises up.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/27.mp4	soft rustling of leaves and grass as the hiker stands still.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/28.mp4	sudden, sharp intake of breath.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/29.mp4	person's labored breathing echoes in the attic.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/30.mp4	the crunch of dry leaves and twigs underfoot.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/32.mp4	footsteps echoing loudly off the walls and floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/33.mp4	sound of footsteps sidestepping and weaving through the crowd.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/34.mp4	Hooves and and a pair of boots crunch on dry grass and dirt with each step.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/35.mp4	clip-clop of the horse's hooves hitting the ground.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/36.mp4	hooves clanking on the asphalt.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/37.mp4	creaking wooden floor beneath the dog's paws.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/38.mp4	the dog's paws crunch softly into the grass.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/39.mp4	paws crunching on gravel with each step.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/40.mp4	soft patter of cat's paws on hardwood floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/41.mp4	paws sinking into the carpet with subtle thud.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/42.mp4	cat's claws tapping against wooden surface in rhythmic pattern.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/43.mp4	tiger's paws softly padding on the forest floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/44.mp4	tiger's massive paws softly thud on the ground.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/45.mp4	rustling of leaves and snapping of twigs under the tiger's paws.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/46.mp4	distant, low-frequency rumble of ancient beast.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/47.mp4	sound of dinosaur's heavy footsteps squishing into the sand.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/48.mp4	sound of waddling footsteps in snow.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/49.mp4	a penguin and human's footsteps crunching on snow and ice.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/50.mp4	Muffled crunching of frozen ice beneath the person's feet.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/51.mp4	punching bag creaks as fists connect with a loud thud, and chain holding the punching bag rattles and clanks.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/52.mp4	the sound of the surfboard gliding across the water with a soft humming.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/53.mp4	lapping of waves against the shore, and sound of surfboard gliding on water.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/54.mp4	the swooshing sound of the golf club cutting through the air.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/55.mp4	footsteps slapping against the treadmill with a consistent rhythm.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/56.mp4	wheels spinning rapidly and scraping against the concrete floor, and slamming sound as the skateboard lands on the concrete floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/57.mp4	springboard creaks and groans as the swimmer bounces up, and echoing sound of the swimmer's powerful entry resonates through the pool.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/58.mp4	rhythmic splashing and lapping of water.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/59.mp4	swimmer's heavy breathing and grunting with each stroke.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/60.mp4	creaking of the wooden floor as the dancer moves.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/61.mp4	fast and quick footsteps pound against the carpet.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/62.mp4	rustling of leaves and snapping of twigs under the fox's paws.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/63.mp4	rustling and crunching of leaves and twigs under the fox kit's paws.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/64.mp4	the cat's claws scratching against the windowpane.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/65.mp4	creaking of the old wooden windowsill under the cat's weight.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/66.mp4	tiger's claws scraping and screeching against the metal bars.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/67.mp4	wind rustles through the lion's mane.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/68.mp4	the rustling of leaves and snapping of twigs as the lion's paws move.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/69.mp4	small monkey's quick footsteps on the vine.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/70.mp4	rustling of leaves and twigs in the gentle breeze.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/71.mp4	a loud moo of the cow accompanied by snorting.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/72.mp4	gentle patting of the farmhand's palm on the cow's head.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/73.mp4	wind blows gently through the bare trees.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/74.mp4	distant mountains and valleys ambient noise with a slight wind blowing.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/75.mp4	roaring of the Spinosaurus echoes through the jungle, and powerful footsteps thudding on damp earth.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/76.mp4	wildflowers rustling in the gentle breeze.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/77.mp4	the hum of the car's engine accelerates loudly, followed by tires screeching and smoking from intense braking.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/78.mp4	loud screeching of train wheels on tracks, and rattling and shaking of train metal body.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/79.mp4	vintage motorcycle engine sputtering and roaring to life, accompanied by screeching of tires.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/80.mp4	wind blows softly in the background.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/81.mp4	gentle lapping of waves against the shore.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/82.mp4	gentle waves lapping against the sailboat's hull.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/83.mp4	bubbles rising to the surface, and school of fish splashing and swimming.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/84.mp4	water plants swaying and tapping against each other.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/85.mp4	Leaves rustling and gently swaying in the breeze.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/86.mp4	person's footsteps quiet on the soft earth, and branches and leaves rustling and snapping from underfoot.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/87.mp4	birds chirping and flapping their wings.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/88.mp4	crackling and spitting of the campfire.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/89.mp4	footsteps and murmurs of pedestrians in every direction.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/90.mp4	leather creaking as the person adjusts their seat.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/91.mp4	rattling of zippers and rustling of fabric, and hands shuffling through items in the bag.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/92.mp4	train wheels screech softly and slowly.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/93.mp4	strong gusts of wind howling and whipping sand particles.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/94.mp4	creaking of old wooden blades in powerful wind.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/95.mp4	faint sound of wind whispering across the field, and the crisp, delicate sound of individual snowflakes hitting the ground.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/96.mp4	soft patter of snowflakes landing on the frozen lake.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/97.mp4	snow crunching beneath the tires of the snowplow, and the rhythmic scraping of the snowplow's blade against the road.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/98.mp4	raindrops hitting the metal rooftop with rhythmic clatter.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/99.mp4	distant hum of city noise with occasional passing vehicles.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/100.mp4	a gentle rustling of the wind through the empty stadium.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/101.mp4	clinking of glasses and silverware on the tray in rhythm with the waiter's footsteps.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/102.mp4	hissing of the steaming wand creating a soothing background hum.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/103.mp4	giggles and murmurs of friends chatting fill the air.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/104.mp4	coffee pouring with a smooth gurgling sound.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/105.mp4	gentle pouring sound of the coffee.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/106.mp4	gurgling of coffee flowing from thermos.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/107.mp4	soft thudding sounds as books are placed on the desk, and stack of books softly scraping the wooden desk as they slide across.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/108.mp4	bright blue button clicking with a crisp, sharp sound.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/109.mp4	crackling and popping of the sparkler's sparks.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/110.mp4	whistling rocket propels upward with increasing pitch, and sharp explosion with loud crackling and sizzling.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/111.mp4	rocket engine roaring loudly and flames crackling.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/112.mp4	drumsticks strike the drumheads with loud thuds and sharp cracks.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/113.mp4	drums are hit with loud and intense thuds and crashes.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/114.mp4	strings humming and buzzing harmoniously, and fingers sliding and pressing strings.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/115.mp4	electric guitar power chords ringing out loudly and resonating.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/116.mp4	Finger pads plucking strings with a subtle vibration.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/117.mp4	the low hum of the piano's resonance and vibrations.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/118.mp4	pianist's fingers tap on the keys with a hollow sound.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/119.mp4	flute notes resonating through the air.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/120.mp4	tires crunching against the gravelly road surface, and the steady rhythm of the bike chain and gears.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/121.mp4	rustling footsteps on the pavement echo through the street.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/122.mp4	leaves crunching and crackling beneath the rake.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/123.mp4	distant hum of the city, gentle wind rustling through skyscrapers.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/124.mp4	wind rustling.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/125.mp4	echoing footsteps on a wooden floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/126.mp4	the sharp, clicks of footsteps on marble floor, and the sound of distant murmurs and muffled conversations.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/127.mp4	rhythmic clacking of the train tracks as the train moves.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/128.mp4	the sound of footsteps and murmurs as people move around the plaza , and water splashing and flowing from the fountain in the background.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/129.mp4	thousands of people cheering and clapping in unison.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/130.mp4	murmurs and whispers fill the room,with soft clinking of cups and saucers.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/131.mp4	fingers typing rapidly on a keyboard, and soft murmur of people chatting in the background.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/132.mp4	chattering and murmurs of students in the courtyard.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/133.mp4	echoing footsteps reverberate across the vast atrium.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/134.mp4	rattling noise of the cleaning cart's wheels on the floor, and footsteps echoing down the deserted corridor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/135.mp4	scraping sound of the worker's boots on the dusty floor, accompanied by the rattling of tools in the worker's pockets.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/136.mp4	the sound of dim humming from the computer.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/137.mp4	soft rustling of the book's pages.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/138.mp4	gentle whoosh of the woman's slow and deep breaths.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/139.mp4	footsteps echoing off the walls and ceiling, accompanied by the scraping wheels of luggage.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/140.mp4	rustling of papers and files being sorted.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/141.mp4	newspaper pages rustling and turning.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/142.mp4	soft footsteps echo off marble floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/143.mp4	soft clinking of a spoon against a mug as coffee is stirred, and muted murmurs of distant conversations between cafe patrons.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/144.mp4	delicate clinking of cups and saucers, and gentle hum of cafe atmosphere with muffled conversations.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/145.mp4	footsteps echoing through the empty tent.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/146.mp4	vibrant balloons rubbing against each other in the wind.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/147.mp4	footsteps echoing off arcade machines, and gentle beeps and chimes of arcade games.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/148.mp4	rows of arcade machines humming and buzzing continuously.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/149.mp4	soft footsteps echoing down the corridor, and flickering fluorescent lights humming overhead.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/150.mp4	rustling of papers as the doctor flips through the file.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/151.mp4	quiet footsteps of the person walking into the room.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/152.mp4	Footsteps echoing off marble floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/153.mp4	soft brushing sounds on delicate ceramic, and muted echo of footsteps on the museum floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/154.mp4	keys clacking on the keyboard.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/155.mp4	footsteps muffled by the carpet.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/156.mp4	footsteps echoing off the marble floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/157.mp4	rustling papers and mail being sorted.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/158.mp4	metallic creaking as the cart wheels spin, and echoing footsteps on the polished concrete floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/159.mp4	patrons murmuring softly in the background.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/160.mp4	echoing footsteps on polished stone floor, and screeching wheels of a train as it passes by in the background gradually getting louder.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/161.mp4	gentle lapping of waves against the shore, soft crunching of sand and pebbles beneath footsteps, and seagulls calling out in the distance.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/162.mp4	gentle rustling of palm leaves in the breeze.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/164.mp4	footsteps crunching on dirt path.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/165.mp4	soft rustling of wheat stalks as they sway back and forth.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/166.mp4	rustling of seeds and soil.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/167.mp4	rustling of vines and leaves as the curtain is pushed aside, accompanied by soft footsteps on the forest floor as the person enters the clearing.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/168.mp4	gentle gurgling of the stream's current.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/169.mp4	customers chatting in the background with distant laughter.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/170.mp4	leaves rustling against each other in the gentle breeze.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/171.mp4	soft creaking of the fishing rod as the person holds it.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/172.mp4	soft ripples spreading across the water.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/173.mp4	footsteps scuff against the pavement with a crunching sound.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/174.mp4	rustling of papers and clothes inside the backpack, and the backpack's zippers open and close.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/175.mp4	gentle scratching of the broom bristles on the sidewalk.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/176.mp4	the sound of wheels on the pavement changes pitch as the cyclist shifts gears.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/177.mp4	footsteps clicking on the sidewalk rhythmically.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/178.mp4	gentle hum of bicycle tires on the road.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/179.mp4	water gurgling and splashing against the rocks.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/180.mp4	gentle lapping of water against the shore, and early morning birdsong with soft chirping and trilling.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/181.mp4	birds chirp and sing in the distance, their melodies intertwining with the rustling of leaves.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/182.mp4	a gentle rustling of leaves.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/183.mp4	seagulls squawk in the distance, their wings flapping lazily.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/184.mp4	waves gently lapping at the shore.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/185.mp4	waves gently lapping at the shore, and seagulls flying overhead with distant squawks.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/186.mp4	a gentle breeze blows through the wheat, rustling the delicate plumes.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/187.mp4	gentle rustling of the grass blades as the person's fingers move across.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/188.mp4	a gentle wind blows across the desert landscape.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/189.mp4	gentle waves crashing against the shore.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/190.mp4	water lapping gently against the dock's pillars.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/191.mp4	train's engine roaring in the distance with a low rumble.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/192.mp4	The cyclist's bicycle wheels spin and hum as they ride along the promenade.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/193.mp4	gentle revving of car engines in the distance.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/194.mp4	person's footsteps echoing off the platform, and train engine humming from a distance.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/195.mp4	distant humming of airliner's engines.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/196.mp4	echoing footsteps of travelers on the polished stone floor, and rustling of luggage wheels and bags being dragged across the floor.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/197.mp4	person's footsteps creaking on the old wooden dock, and water rippling against the shore.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/198.mp4	gentle water lapping against the shore, and colorful sails flapping in the breeze.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/199.mp4	water lapping against the pier with a soothing rhythm.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/200.mp4	water laps gently against the dock, and submarine's engines humming gradually growing louder.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/201.mp4	gentle water ripples and light splashing sounds, and a low humming noise emanates from the submarine's engines.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/202.mp4	gentle bicycle wheels turning on the pavement.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/203.mp4	soft wheels hum against the pavement.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/204.mp4	rolling wheels screeching and humming.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/205.mp4	the sound of the roller skates wheels rolling smoothly over the wooden planks.	test
